total_kWhDelivered,carsCharging,carsIdle,Holiday,Weekday
14.142375,4,1,False,6
10.908875,3,2,False,6
1.719875,1,4,False,6
1.719875,1,4,False,6
1.719875,1,4,False,6
2.525,1,5,False,6
0.0,0,4,False,6
0.0,0,4,False,6
0.0,0,4,False,6
0.0,0,2,False,6
12.09142857142857,3,2,False,6
24.08067857142857,8,2,False,6
30.12567857142857,10,2,False,6
22.623778571428574,7,2,False,6
25.67877857142857,8,1,False,6
26.067195238095238,8,1,False,6
39.854861904761904,10,1,False,6
14.953933333333334,4,3,False,6
7.721666666666668,3,2,False,6
3.518,2,0,False,6
0.621,1,1,False,6
6.996333333333333,3,1,False,6
4.636333333333334,1,1,False,6
7.935333333333334,2,1,False,6
3.299,1,1,False,0
0.0,0,2,False,0
0.0,0,2,False,0
0.0,0,2,False,0
0.0,0,2,False,0
2.93975,1,2,False,0
9.171750000000001,3,2,False,0
14.151035714285715,5,1,False,0
18.60286904761905,7,2,False,0
50.12808333333333,20,2,False,0
64.46402380952381,26,5,False,0
43.85519047619048,19,10,False,0
39.457690476190486,17,11,False,0
33.583607142857154,15,15,False,0
24.601738095238094,10,17,False,0
19.127738095238097,9,16,False,0
14.74177380952381,4,12,False,0
16.772850000000002,4,3,False,0
33.52285,8,0,False,0
27.77085,6,0,False,0
23.746600000000004,5,0,False,0
14.301766666666666,5,1,False,0
0.3821666666666667,1,3,False,0
0.3821666666666667,1,3,False,0
0.3821666666666667,1,3,False,1
0.3821666666666667,1,3,False,1
0.3821666666666667,1,3,False,1
0.0,0,4,False,1
0.0,0,4,False,1
3.862,1,4,False,1
11.388,2,1,False,1
9.732833333333334,3,2,False,1
38.46277023809523,13,3,False,1
48.109225,20,6,False,1
54.362669047619065,26,11,False,1
40.72783571428571,21,13,False,1
43.63300238095237,22,15,False,1
37.28603571428572,18,19,False,1
39.089235714285714,18,17,False,1
29.459607142857145,12,17,False,1
30.052327380952377,8,13,False,1
16.796041666666667,6,8,False,1
22.839583333333334,6,4,False,1
30.84125,7,1,False,1
57.826249999999995,10,2,False,1
27.861333333333334,6,4,False,1
7.097,3,5,False,1
13.72,3,4,False,1
5.86,2,4,False,2
5.86,2,4,False,2
1.756,1,5,False,2
1.756,1,5,False,2
1.756,1,4,False,2
3.859666666666667,1,3,False,2
18.49666666666667,3,2,False,2
8.176333333333334,2,3,False,2
44.77789285714286,13,3,False,2
56.449376190476194,21,7,False,2
45.504647619047624,21,13,False,2
35.862314285714284,17,14,False,2
39.44528095238094,19,13,False,2
40.50661428571429,19,15,False,2
40.84846428571429,18,16,False,2
30.103121428571427,12,16,False,2
23.729871428571432,9,14,False,2
23.525750000000002,7,10,False,2
22.2005,5,8,False,2
31.1265,6,4,False,2
48.138999999999996,7,4,False,2
15.2515,3,2,False,2
3.7865,2,2,False,2
0.0,0,3,False,2
0.0,0,2,False,3
0.0,0,2,False,3
0.0,0,2,False,3
0.0,0,2,False,3
0.0,0,2,False,3
15.758666666666667,2,2,False,3
3.876666666666667,1,2,False,3
24.820666666666668,5,2,False,3
