,model type,target_feature,n_steps_in,n_nodes,n_nodes_cnn,layers,val_RMSE,val_MAE
109,LSTM-CNN,total_kWhDelivered,4,5,64,1,17.793556113548323,12.777255546534436
110,LSTM-CNN,total_kWhDelivered,4,50,32,1,16.236937169734876,11.953768510563869
111,LSTM-CNN,total_kWhDelivered,4,50,64,1,17.002700598945122,12.059856061731141
112,LSTM-CNN,total_kWhDelivered,4,100,32,1,17.5149862316382,12.79071439991695
113,LSTM-CNN,total_kWhDelivered,4,100,64,1,17.207227384503284,11.701707657897044
114,LSTM-CNN,total_kWhDelivered,15,5,32,1,13.632967069828545,9.558873408747388
115,LSTM-CNN,total_kWhDelivered,15,5,64,1,13.537215754445784,9.772076888552705
116,LSTM-CNN,total_kWhDelivered,15,50,32,1,15.098359331050828,10.845278162591885
117,LSTM-CNN,total_kWhDelivered,15,50,64,1,13.614994140529578,9.565222734772236
118,LSTM-CNN,total_kWhDelivered,15,100,32,1,13.769670510190982,9.783751596559005
119,LSTM-CNN,total_kWhDelivered,15,100,64,1,13.757057786397462,9.74429369123682
120,LSTM-CNN,total_kWhDelivered,50,5,32,1,14.372706317692902,9.865373733701558
121,LSTM-CNN,total_kWhDelivered,50,5,64,1,14.873705894153359,10.486407793065931
122,LSTM-CNN,total_kWhDelivered,50,50,32,1,14.772505130299297,10.299794171057643
123,LSTM-CNN,total_kWhDelivered,50,50,64,1,13.360816940917122,9.355483586430836
124,LSTM-CNN,total_kWhDelivered,50,100,32,1,14.698919937186998,10.048646774143892
125,LSTM-CNN,total_kWhDelivered,50,100,64,1,13.856077228252003,9.400122055011225
126,LSTM-CNN,carsCharging,4,5,32,1,4.509166900102008,3.1510099015737834
127,LSTM-CNN,carsCharging,4,5,64,1,4.413383341734581,3.041130678536417
128,LSTM-CNN,carsCharging,4,50,32,1,3.8295833746530916,2.633958710208365
129,LSTM-CNN,carsCharging,4,50,64,1,3.8037377997975113,2.5876940022344175
130,LSTM-CNN,carsCharging,4,100,32,1,4.123884371625386,2.8470200006967277
131,LSTM-CNN,carsCharging,4,100,64,1,3.9872897630968542,2.744757748509435
132,LSTM-CNN,carsCharging,15,5,32,1,3.233713068710972,2.3021927928760886
133,LSTM-CNN,carsCharging,15,5,64,1,3.0915094547054656,2.209794022671418
134,LSTM-CNN,carsCharging,15,50,32,1,3.161625383344987,2.1271806557063924
135,LSTM-CNN,carsCharging,15,50,64,1,3.2306924029727893,2.310160603485064
136,LSTM-CNN,carsCharging,15,100,32,1,3.261822812743727,2.2229817616721315
137,LSTM-CNN,carsCharging,15,100,64,1,3.089504877455254,2.095430107424952
138,LSTM-CNN,carsCharging,50,5,32,1,3.2526127896817423,2.2397604082078084
139,LSTM-CNN,carsCharging,50,5,64,1,3.196572139954851,2.224027531643481
140,LSTM-CNN,carsCharging,50,50,32,1,3.177592377811563,2.2408808764385686
141,LSTM-CNN,carsCharging,50,50,64,1,3.3437524981474267,2.3648471738162793
142,LSTM-CNN,carsCharging,50,100,32,1,3.3627999227002046,2.2255313504887937
143,LSTM-CNN,carsCharging,50,100,64,1,3.170171803663253,2.2644981961501274
144,LSTM-CNN,carsIdle,4,5,32,1,4.295745365097829,3.0091320789787805
145,LSTM-CNN,carsIdle,4,5,64,1,4.132086797363573,2.8632700686051042
146,LSTM-CNN,carsIdle,4,50,32,1,3.679250634928844,2.5334437331291304
147,LSTM-CNN,carsIdle,4,50,64,1,3.8230438989747055,2.596919854118295
148,LSTM-CNN,carsIdle,4,100,32,1,4.072643073755203,2.662767002729857
149,LSTM-CNN,carsIdle,4,100,64,1,3.7953214649615616,2.5422850217099047
150,LSTM-CNN,carsIdle,15,5,32,1,2.7305266284461753,1.984013567663712
151,LSTM-CNN,carsIdle,15,5,64,1,2.7974800259525288,1.9931561137193674
152,LSTM-CNN,carsIdle,15,50,32,1,3.207641303714477,2.143861864401492
153,LSTM-CNN,carsIdle,15,50,64,1,2.6946335926152014,1.9862628255883399
154,LSTM-CNN,carsIdle,15,100,32,1,2.6406474984144053,1.9074535784514055
155,LSTM-CNN,carsIdle,15,100,64,1,2.952184106209958,2.0234250554162796
156,LSTM-CNN,carsIdle,50,5,32,1,3.0126232996504223,2.0216218171560247
157,LSTM-CNN,carsIdle,50,5,64,1,4.240045227810699,2.831394377933896
158,LSTM-CNN,carsIdle,50,50,32,1,3.1325225380887103,2.239903907583562
159,LSTM-CNN,carsIdle,50,50,64,1,3.100984277905375,2.2012106927636013
