DatasetYear,AnalysisPreconditions,CalcYear,ConnectionPointCode,ConnectionPointName,ConnectionPointLongitude,ConnectionPointLatitude,ProductionSurplus_MWh,ProductionRatioSolar,ProductionRatioThermal,ProductionRatioWind
2021-01-01,ProduktionsReference,2025-01-01,KBG,132 KV STATION KALUNDBORG (KBA/KBB),11.109847,55.675343,-106635.1649,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,KBBV,Kærbybro,10.070018,56.621846,383235.1575,1.3,6.1332,92.6
2021-01-01,ProduktionsReference,2025-01-01,KAS,220 KV STATION KASSØ,9.270619,55.036563,338653.1319,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,KAR,Karrebæk,11.651509,55.191168,-7329.209708,6.4,4.2024,89.4
2021-01-01,ProduktionsReference,2025-01-01,KAM,132 KV STATION KAMSTRUP,12.073199,55.60854,-134143.3435,53.7,0,46.3
2021-01-01,ProduktionsReference,2025-01-01,KAK,132 KV STATION KASTRUP,12.657965,55.631542,-117270.6539,69.2,30.7558,0
2021-01-01,ProduktionsReference,2025-01-01,KAE,150 KV STATION KARLSGÅRDE,8.575201,55.647756,609855.1882,8.3,5.057,86.6
2021-01-01,ProduktionsReference,2025-01-01,JYD,Jyderup,11.43957,55.658757,-3344.829618,4.3,43.4349,52.3
2021-01-01,ProduktionsReference,2025-01-01,JUN,Junckers,12.188959,55.464069,-46684.12245,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,JERØ,Jersie,12.186327,55.524102,-111480.6807,29.4,0,70.6
2021-01-01,ProduktionsReference,2025-01-01,ISL,Islevgård,12.424991,55.704852,-66324.92073,0.2,99.812,0
2021-01-01,ProduktionsReference,2025-01-01,ISH,400 KV STATION ISHØJ,12.320145,55.63253,1722841.918,0,0,100
2021-01-01,ProduktionsReference,2025-01-01,IDU,150 KV STATION IDOMLUND,8.553245,56.351462,2711176.991,10.5,4.6657,84.8
2021-01-01,ProduktionsReference,2025-01-01,IDE,132 KV STATION IDESTRUP,11.941237,54.748454,16820.77467,69.3,0,30.7
2021-01-01,ProduktionsReference,2025-01-01,HVV,150 KV STATION HÅNDVÆRKERVEJ,9.925404,57.03616,-136303.6699,33.9,66.1473,0
2021-01-01,ProduktionsReference,2025-01-01,HVR,Havrebjerg,11.307402,55.446557,-21325.59943,7.5,0,92.5
2021-01-01,ProduktionsReference,2025-01-01,HVO,150 KV STATION HVORUPGAARD,9.931784,57.116228,40946.80876,8.9,0,91.1
2021-01-01,ProduktionsReference,2025-01-01,HVIØ,Hvidovregård,12.467729,55.637273,-118984.0818,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HVE,132 KV STATION HOVEGÅRD,12.234356,55.73262,0,,,
2021-01-01,ProduktionsReference,2025-01-01,HUNØ,Hundestedgård,11.88851,55.966834,-71678.74612,4.4,0,95.6
2021-01-01,ProduktionsReference,2025-01-01,HSTØ,Herstedgård,12.37173,55.670067,-89774.46069,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HSKV,Høskov,10.146799,56.130267,-479219.2781,64.6,35.4131,0
2021-01-01,ProduktionsReference,2025-01-01,HSKØ,Hareskovgård,12.399118,55.747582,-118641.3726,3,96.9678,0
2021-01-01,ProduktionsReference,2025-01-01,HOSØ,Holsted,11.771431,55.246945,-56605.10402,17.7,0,82.3
2021-01-01,ProduktionsReference,2025-01-01,HØN,150 KV STATION HØRNING,10.031307,56.075115,-320103.0763,19.9,35.765,44.4
2021-01-01,ProduktionsReference,2025-01-01,HOLØ,Holmegård,12.483342,55.795953,-116312.4105,0.9,99.0518,0
2021-01-01,ProduktionsReference,2025-01-01,HØK,Helsingør Kraftvarmeværk,12.59052,56.02539,129040.0307,0,100,0
2021-01-01,ProduktionsReference,2025-01-01,HOD,150 KV STATION HOLSTED,8.915796,55.520214,215537.1284,68.6,8.2834,23.1
2021-01-01,ProduktionsReference,2025-01-01,HNB,150 KV STATION HORNBÆK,9.98074,56.469108,14189.52822,28.3,8.1634,63.5
2021-01-01,ProduktionsReference,2025-01-01,HMA,132 KV STATION HERLUFMAGLE,11.742122,55.333834,-41303.21295,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HLY,Holeby,11.481324,54.70757,-15010.00289,4.5,0,95.5
2021-01-01,ProduktionsReference,2025-01-01,HLS,Helsingør,12.585434,56.040452,-113017.5917,88.6,11.4059,0
2021-01-01,ProduktionsReference,2025-01-01,HLBØ,Holbæk,11.715284,55.7064,-70457.23564,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HKV,Hillrødkraftvarmeværk,12.311185,55.907703,0,,,
2021-01-01,ProduktionsReference,2025-01-01,HIL,Hillerødgård,12.297968,55.923981,-115880.4138,57.1,0,42.9
2021-01-01,ProduktionsReference,2025-01-01,HIG,Helsingegård,12.171416,56.018753,-59586.43398,14.4,85.5592,0
2021-01-01,ProduktionsReference,2025-01-01,HHO,Hagesholm,11.585612,55.760464,54141.0478,0,0,100
2021-01-01,ProduktionsReference,2025-01-01,HESV,Herning Syd Vest,8.936027,56.140928,205836.7735,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HERV,Herning,8.935039,56.140458,-171642.982,0.2,48.5794,51.2
2021-01-01,ProduktionsReference,2025-01-01,HERØ,Herfølge,12.131596,55.416542,-41963.64383,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HEMØ,Hemmestrup,12.016631,55.2048,-26180.06433,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,HEJØ,Hejninge,11.29578,55.400812,-5861.62285,0,9.2337,90.8
2021-01-01,ProduktionsReference,2025-01-01,HDE,Hedegård,12.127288,55.642754,-22062.49923,1.6,96.1652,2.3
2021-01-01,ProduktionsReference,2025-01-01,HCV,400 KV STATION H.C. ØRSTED VÆRKET,12.554171,55.656563,-633155.1914,10.5,89.4607,0
2021-01-01,ProduktionsReference,2025-01-01,HBYØ,Hornebygård,12.444864,56.076377,-64721.3125,13.1,86.9493,0
2021-01-01,ProduktionsReference,2025-01-01,HBØ,hbø,12,55,-45061.99691,22.5,6.2523,71.2
2021-01-01,ProduktionsReference,2025-01-01,HATV,Hatting,9.748469,55.862158,-681483.484,12.5,57.4079,30.1
2021-01-01,ProduktionsReference,2025-01-01,HASV,Hasle,10.14807,56.165251,-574815.74,24.1,45.3982,30.5
2021-01-01,ProduktionsReference,2025-01-01,HAS,Haslev,11.964658,55.332655,227305.8637,91.7,0,8.3
2021-01-01,ProduktionsReference,2025-01-01,HAMØ,Hammer,11.86698,55.139702,-15447.35022,10,0,90
2021-01-01,ProduktionsReference,2025-01-01,GUR,Gurede,11.649864,55.756761,-37474.20583,42.8,17.6133,39.6
2021-01-01,ProduktionsReference,2025-01-01,GRP,150 KV STATION GRADERUP,10.003151,55.472693,-483258.3619,17,27.8155,55.1
2021-01-01,ProduktionsReference,2025-01-01,GRN,132 KV STATION GRØNNEGÅRD,12.463801,55.735035,-190840.3943,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,GREØ,Grevinge,11.539302,55.800826,-26442.17834,4,0,96
2021-01-01,ProduktionsReference,2025-01-01,GLO,Glostrupgård,12.421264,55.66872,-124489.9451,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,GLN,132 KV STATION GLENTEGÅRD,12.499019,55.753014,-149179.9795,93.7,6.3155,0
2021-01-01,ProduktionsReference,2025-01-01,GLL,Gloslunde,11.232886,54.756023,98964.5248,0.5,0,99.5
2021-01-01,ProduktionsReference,2025-01-01,GIL,Gillelejegård,12.295283,56.112475,-87227.50109,100,0,0
2021-01-01,ProduktionsReference,2025-01-01,GHO,Gl.Holtegård,12.517256,55.83598,-93566.69635,3,97.0387,0
2021-01-01,ProduktionsReference,2025-01-01,FXE,Faxe,12.130373,55.237462,-57567.89475,29.5,33.9141,36.6
