,model type,target_feature,n_steps_in,n_nodes,n_nodes_cnn,layers,val_RMSE,val_MAE
26,LSTM,carsCharging,15,50,32,1,3.2022129472411933,2.1386996135968093
27,LSTM,carsCharging,15,50,32,2,3.106784773297055,2.0858956605400594
28,LSTM,carsCharging,15,100,32,1,3.0478290466231646,2.1069340139150072
29,LSTM,carsCharging,15,100,32,2,3.251819659064233,2.248323960285165
30,LSTM,carsCharging,50,5,32,1,3.5818490613788567,2.5888402090329055
31,LSTM,carsCharging,50,5,32,2,3.7264973368586687,2.448694099277872
32,LSTM,carsCharging,50,50,32,1,3.186184001161649,2.1462793365564172
33,LSTM,carsCharging,50,50,32,2,3.1516539815637525,2.193118584169676
34,LSTM,carsCharging,50,100,32,1,3.0562597071444992,2.2039126853716455
35,LSTM,carsCharging,50,100,32,2,2.8888115361818687,1.9672916557477869
36,LSTM,carsIdle,4,5,32,1,4.01420235831583,2.846017516245831
37,LSTM,carsIdle,4,5,32,2,3.6395141453590787,2.5705791777276885
38,LSTM,carsIdle,4,50,32,1,3.530678399785672,2.482882913466313
39,LSTM,carsIdle,4,50,32,2,10.551172025954342,7.423340961098398
40,LSTM,carsIdle,4,100,32,1,3.436061419619736,2.335840440996724
41,LSTM,carsIdle,4,100,32,2,3.194912443740377,2.1897022729607416
42,LSTM,carsIdle,15,5,32,1,3.537904035212709,2.5248060249286604
43,LSTM,carsIdle,15,5,32,2,3.27573278537214,2.405227442559716
44,LSTM,carsIdle,15,50,32,1,2.8145150741370277,2.0491545520194334
45,LSTM,carsIdle,15,50,32,2,3.273188849807581,2.2612314844840724
46,LSTM,carsIdle,15,100,32,1,3.1349380867681576,2.1552076316534516
47,LSTM,carsIdle,15,100,32,2,2.8946320239918295,2.0664073507763976
48,LSTM,carsIdle,50,5,32,1,3.732519763638821,2.5921974908944128
49,LSTM,carsIdle,50,5,32,2,3.261933336918586,2.2100814458673277
50,LSTM,carsIdle,50,50,32,1,2.8115824333830868,1.964537274032763
51,LSTM,carsIdle,50,50,32,2,2.918490934867317,2.0184548991291145
52,LSTM,carsIdle,50,100,32,1,3.147496372250774,2.1695590253143617
53,LSTM,carsIdle,50,100,32,2,2.9422707884474573,2.0379920519496264
54,GRU,total_kWhDelivered,4,5,32,1,18.959499275934782,13.67455580423055
55,GRU,total_kWhDelivered,4,5,32,2,18.313854974337215,13.022029795281332
56,GRU,total_kWhDelivered,4,50,32,1,15.525043624866488,10.828675097424675
57,GRU,total_kWhDelivered,4,50,32,2,15.734344563360604,10.64487781932649
58,GRU,total_kWhDelivered,4,100,32,1,16.082433456130996,11.397202512343998
59,GRU,total_kWhDelivered,4,100,32,2,17.715279186018094,12.606654720442334
60,GRU,total_kWhDelivered,15,5,32,1,15.557007350548032,10.799971935551183
61,GRU,total_kWhDelivered,15,5,32,2,15.68076972903752,11.459277302367358
62,GRU,total_kWhDelivered,15,50,32,1,14.527764179575746,9.250772068592774
63,GRU,total_kWhDelivered,15,50,32,2,15.047686046499878,10.390349133425415
64,GRU,total_kWhDelivered,15,100,32,1,15.5435019167821,10.674789827132107
65,GRU,total_kWhDelivered,15,100,32,2,15.329970874113078,10.465104435397063
66,GRU,total_kWhDelivered,50,5,32,1,16.45454464098504,11.478005685478648
67,GRU,total_kWhDelivered,50,5,32,2,36.3482759971529,26.19444674494184
68,GRU,total_kWhDelivered,50,50,32,1,15.185565378506789,10.3785180008985
69,GRU,total_kWhDelivered,50,50,32,2,15.194044264746617,10.56010303642191
70,GRU,total_kWhDelivered,50,100,32,1,14.61650533570751,9.920616260077782
71,GRU,total_kWhDelivered,50,100,32,2,15.270025632985943,10.577003575430345
72,GRU,carsCharging,4,5,32,1,4.620219180070782,3.268259114204337
73,GRU,carsCharging,4,5,32,2,4.258854138722851,3.030053656283996
74,GRU,carsCharging,4,50,32,1,3.7875511854501793,2.5270734451182646
75,GRU,carsCharging,4,50,32,2,3.8021178321926867,2.5329331825881582
76,GRU,carsCharging,4,100,32,1,3.997539113722189,2.532865626656491
77,GRU,carsCharging,4,100,32,2,4.015819215932277,2.6308467268125417
78,GRU,carsCharging,15,5,32,1,9.770009684992704,6.610983981693364
79,GRU,carsCharging,15,5,32,2,3.750273691449425,2.708983380611756
80,GRU,carsCharging,15,50,32,1,3.0126335788953535,2.0360612535776754
81,GRU,carsCharging,15,50,32,2,9.770009684992704,6.610983981693364
82,GRU,carsCharging,15,100,32,1,3.173953628702444,2.1272579459494803
83,GRU,carsCharging,15,100,32,2,3.184396729623345,2.1637949458658015
84,GRU,carsCharging,50,5,32,1,3.5882306186320805,2.693221605751553
85,GRU,carsCharging,50,5,32,2,3.7364826588357363,2.736049896314979
86,GRU,carsCharging,50,50,32,1,2.9858989879107427,1.987282611685432
87,GRU,carsCharging,50,50,32,2,3.0524001783969483,2.096056620234483
88,GRU,carsCharging,50,100,32,1,2.8841845204041303,2.004991425256707
89,GRU,carsCharging,50,100,32,2,3.4817971003052723,2.358774320007189
90,GRU,carsIdle,4,5,32,1,10.551172025954342,7.423340961098398
91,GRU,carsIdle,4,5,32,2,4.365693105731486,3.214282686807198
92,GRU,carsIdle,4,50,32,1,3.6022368074448785,2.368427692479891
93,GRU,carsIdle,4,50,32,2,3.0590155917952866,2.1422682579103816
94,GRU,carsIdle,4,100,32,1,3.3684063215120665,2.2883388009987926
95,GRU,carsIdle,4,100,32,2,3.3767521770125395,2.2231382066106904
96,GRU,carsIdle,15,5,32,1,3.663335908621661,2.528299359626028
97,GRU,carsIdle,15,5,32,2,3.132999016694312,2.1038964122056414
98,GRU,carsIdle,15,50,32,1,3.0330454769149253,2.002143765477894
99,GRU,carsIdle,15,50,32,2,2.936459554669281,2.0669406250767084
100,GRU,carsIdle,15,100,32,1,3.083287218689206,2.16998142668939
101,GRU,carsIdle,15,100,32,2,3.0047146299027836,2.1208186705748058
102,GRU,carsIdle,50,5,32,1,3.6374745565288205,2.6686893498665683
103,GRU,carsIdle,50,5,32,2,3.149354294583171,2.195336953589791
104,GRU,carsIdle,50,50,32,1,3.3588500360731404,2.300781974666997
105,GRU,carsIdle,50,50,32,2,2.746340069616095,1.9169402195809908
106,GRU,carsIdle,50,100,32,1,2.792645856939872,1.9905623995807677
107,GRU,carsIdle,50,100,32,2,3.030415805760757,2.0557103302474697
